zip,city,state,county,units_2014,fc_2016,fc_2015,fc_2014,fc_2013,fc_2012,fc_2011,fc_2010,fc_2009,fc_2008
98001,Auburn,Washington,King,11718,107,144,124,259,235,281,347,305,174
98002,Auburn,Washington,King,13981,103,138,154,217,214,202,256,197,122
98003,Federal Way,Washington,King,19279,111,176,175,284,242,316,416,342,231
98004,Bellevue,Washington,King,16773,46,35,25,74,78,126,210,173,86
98005,Bellevue,Washington,King,8229,29,29,31,46,43,69,121,96,54
98006,Bellevue,Washington,King,13558,45,51,35,104,99,92,160,115,43
98007,Bellevue,Washington,King,10912,29,27,35,69,79,110,181,68,31
98008,Bellevue,Washington,King,9349,20,29,32,66,68,75,128,102,52
98009,Bellevue,Washington,King,0,,,,0,0,1,0,0,
98010,Black Diamond,Washington,King,1978,12,10,14,25,36,33,52,42,12
98011,Bothell,Washington,King,13089,48,71,76,131,160,232,240,140,66
98012,Bothell,Washington,Snohomish,21347,105,145,173,326,322,436,515,384,208
98013,Burton,Washington,King,0,,,,0,0,0,0,0,
98014,Carnation,Washington,King,2796,18,25,32,41,36,49,48,51,24
98015,Bellevue,Washington,King,0,,,,0,0,2,0,0,
98019,Duvall,Washington,King,4151,29,28,38,55,63,61,63,55,47
98020,Edmonds,Washington,Snohomish,8935,22,29,28,54,104,80,102,73,31
98021,Bothell,Washington,Snohomish,10673,27,49,60,130,137,139,180,135,77
98022,Enumclaw,Washington,King,9049,56,64,81,113,102,137,183,120,73
98023,Federal Way,Washington,King,18625,176,217,287,391,308,430,513,434,289
98024,Fall City,Washington,King,2228,18,20,15,25,19,27,44,30,17
98025,Hobart,Washington,King,0,,,,0,0,1,0,0,
98026,Edmonds,Washington,Snohomish,15594,63,92,109,185,228,239,273,198,85
98027,Issaquah,Washington,King,11363,46,62,58,120,143,144,178,104,69
98028,Kenmore,Washington,King,8635,48,36,55,83,104,127,153,156,62
98029,Issaquah,Washington,King,11047,48,47,45,96,99,147,159,145,57
98030,Kent,Washington,King,12534,90,112,140,236,230,296,365,320,192
98031,Kent,Washington,King,12903,95,132,147,217,191,264,327,339,253
98032,Kent,Washington,King,14852,118,122,116,218,205,231,268,183,140
98033,Kirkland,Washington,King,16431,45,69,71,119,132,185,296,224,125
98034,Kirkland,Washington,King,18171,106,109,176,229,240,384,422,299,135
98035,Kent,Washington,King,0,,,,0,0,0,0,0,
98036,Lynnwood,Washington,Snohomish,14582,56,75,98,189,210,232,280,224,117
98037,Lynnwood,Washington,Snohomish,10772,50,65,73,145,155,205,210,167,99
98038,Maple Valley,Washington,King,12318,93,104,134,211,230,242,292,240,174
